FechaOperación,Fecha Cargo,Descripción,Monto,
26-Mar-25,N/A,PAYPAL*VIVAAEROBUS (Pago 11 de 12),608,608
16-ene-2026,19-ene-2026,TELCEL ; Tarjeta Digital ***5537,20,
16-ene-2026,19-ene-2026,SUPER RIVERA (Adicional),59.4,
16-ene-2026,19-ene-2026,SORIANA287 APIZACO (Adicional),535.7,
16-ene-2026,19-ene-2026,ABTS 2353TLXAPIZACO4 (Adicional),516,
16-ene-2026,19-ene-2026,ABTS MDO DE LOS MARES (Adicional),270,
16-ene-2026,19-ene-2026,ABARROTES GARCES (Adicional),176,
17-ene-2026,19-ene-2026,ABTS DIST LA COMER (Adicional),116.9,
17-ene-2026,19-ene-2026,F AHORRO PEIS PARAISO (Adicional),153,
17-ene-2026,19-ene-2026,MERPAGO*ORUS (Adicional),396,396
19-ene-2026,21-ene-2026,UBER ; Tarjeta Digital ***5537,70,
19-ene-2026,23-ene-2026,ESTETICA MICHELLE (Adicional),370,
20-ene-2026,21-ene-2026,Google YouTubePremium ; Tarjeta Digital ***5537,319,
20-ene-2026,21-ene-2026,CAFE TEXCALLA 1 (Adicional),156.2,
21-ene-2026,22-ene-2026,HOME DEPOT TLAXCALA,286,
21-ene-2026,22-ene-2026,TELMEX CARGO RECURR 3 ; Tarjeta Digital ***5537,389,
21-ene-2026,22-ene-2026,SORIANA287 APIZACO (Adicional),713.1,
21-ene-2026,22-ene-2026,FARM LA NUEVA SN JOSE (Adicional),157,
21-ene-2026,22-ene-2026,GAS ESTACION TLAXCALA (Adicional),1195.4,
21-ene-2026,22-ene-2026,SUPERCENTER EL MOLINIT (Adicional),74,
21-ene-2026,22-ene-2026,SUPERCENTER EL MOLINIT (Adicional),406.64,
22-ene-2026,23-ene-2026,FERR CAREYS,77,
23-ene-2026,23-ene-2026,CFE 974141200181,271,
23-ene-2026,26-ene-2026,BMOVIL.PAGO TDC,-50803.74,-50803.74
23-ene-2026,26-ene-2026,WAL MART LOMAS (Adicional),1801.37,
23-ene-2026,26-ene-2026,WAL MART LOMAS (Adicional),91.55,
23-ene-2026,26-ene-2026,SAM S CLUB LOMAS (Adicional),45,
24-ene-2026,26-ene-2026,SAMS EL MOLINITO TLAXC (Adicional),918.66,
24-ene-2026,26-ene-2026,BONETERA DE ANGEL (Adicional),319.3,
24-ene-2026,26-ene-2026,SUPERCENTER EL MOLINIT (Adicional),606,
24-ene-2026,26-ene-2026,GAS ESTACION TLAXCALA (Adicional),857.16,
24-ene-2026,26-ene-2026,COMERCIO SANTO TOMAS (Adicional),792,
24-ene-2026,26-ene-2026,SUPERCENTER EL MOLINIT (Adicional),757,
24-ene-2026,26-ene-2026,CELL PLANET (Adicional),550,
24-ene-2026,26-ene-2026,BOUT HANGTEN TLAXCALA (Adicional),179.4,
25-ene-2026,26-ene-2026,55 MP CUATRO CAMINOS NAUCAL,1695,
25-ene-2026,26-ene-2026,LA BARBERIA DEL TOREO,267.8,
25-ene-2026,26-ene-2026,LA CASA DE TONO DIAMAN (Adicional),991,
25-ene-2026,26-ene-2026,MX2D TECH ESTE (Adicional),97,
25-ene-2026,27-ene-2026,FLAIR DIREC 8GZJW2 (Adicional),2999.63,
26-ene-2026,27-ene-2026,SAMS POLANCO,5.11,
26-ene-2026,27-ene-2026,SAMS POLANCO,529.39,
26-ene-2026,27-ene-2026,MERPAGO*CREMERIA (Adicional),495,495
26-ene-2026,27-ene-2026,FARMATODO MOLIERE (Adicional),1017.5,
26-ene-2026,27-ene-2026,TIENDA TOREO 1 (Adicional),142,
27-ene-2026,28-ene-2026,TIENDA TOREO 3 (Adicional),196,
28-ene-2026,29-ene-2026,AUTOBUSES ATAH TAPO 3 (Adicional),242,
28-ene-2026,29-ene-2026,FARM SIMILARES SUC1195 (Adicional),345.03,
30-ene-2026,03-Feb-26,TIENDA TOREO 1,47,
30-ene-2026,03-Feb-26,TIENDA TOREO 1,78,
31-ene-2026,03-Feb-26,ABTS 1703CETRAM4CAMINO,159,
31-ene-2026,03-Feb-26,WAL MART LOMAS,157.41,
31-ene-2026,03-Feb-26,ABTS 1703CETRAM4CAMINO,2396,
01-Feb-26,03-Feb-26,WAL MART LOMAS,1268.04,
01-Feb-26,03-Feb-26,REST LA MURALLA CHINA,535,
01-Feb-26,03-Feb-26,LA MILAGRESA LOMAS 1,2016.1,
01-Feb-26,03-Feb-26,PAYPAL*GOOGLE GOOGLE ; Tarjeta Digital ***5537,39,
02-Feb-26,03-Feb-26,IZZI DOM,966,
03-Feb-26,04-Feb-26,MISCELANEA SUPER RIVER (Adicional),599.1,
04-Feb-26,05-Feb-26,TIENDA TOREO 3,313,
05-Feb-26,06-Feb-26,TIENDA TOREO 3 (Adicional),85,
05-Feb-26,06-Feb-26,BAE PLAZA LEGARIA (Adicional),575,
05-Feb-26,06-Feb-26,TRANSP ATAH EJEC APIZA (Adicional),262,
06-Feb-26,09-Feb-26,ABTS 1703CETRAM4CAMINO,50,
06-Feb-26,09-Feb-26,TIENDA TORE0 2 (Adicional),102,
07-Feb-26,09-Feb-26,TIENDA TOREO 3,59,
07-Feb-26,09-Feb-26,MERPAGO*PLAYACAREYES (Adicional),371,371
08-Feb-26,09-Feb-26,TIENDA TOREO 3,318,
08-Feb-26,09-Feb-26,TIENDA TOREO 1,139,
08-Feb-26,09-Feb-26,TIENDA TOREO 3,45,
08-Feb-26,09-Feb-26,AMAZON MX DIGITAL ; Tarjeta Digital ***5537,59.99,
08-Feb-26,09-Feb-26,TIENDA TORE0 2 (Adicional),136,
09-Feb-26,10-Feb-26,MERPAGO*CREMERIA (Adicional),358,358
09-Feb-26,10-Feb-26,MERPAGO*POLLERIA (Adicional),115,115
09-Feb-26,10-Feb-26,TIENDA TORE0 2 (Adicional),206,
10-Feb-26,11-Feb-26,TIENDA TOREO 1,109,
10-Feb-26,11-Feb-26,CHEDRAUI SEL MX LINDAV (Adicional),414.64,
11-Feb-26,12-Feb-26,STRIPE *AMAZONPRIMESUB,899,
11-Feb-26,12-Feb-26,UPS PENON,464.35,
11-Feb-26,12-Feb-26,MCDONALDS MEX AEROP FC (Adicional),400,
12-Feb-26,13-Feb-26,EATACION 37 MIT,200,
12-Feb-26,13-Feb-26,SALON TERRAZA (Adicional),235,
14-Feb-26,16-Feb-26,11 DE 12 PAYPAL*VIVAAEROBUS ; Tarjeta Digital ***5537,608,
,,,1975,
